artistName	myListens	quotient
datfootdive	440	0.008528
toe	439	0.000045
Joji	414	0.000073
Barnes Blvd.	362	0.004409
dandelion hands	334	0.000695
Elvis Depressedly	306	0.000124
haroinfather	300	0.029172
BROCKHAMPTON	262	0.000011
lund	244	0.000511
6 dogs	221	0.000503
Ta-ku	215	0.000043
stream_error	201	0.005614
ZZZ	188	0.000539
$uicideboy$	179	0.000013
Fats'e	179	0.003377
Teen Suicide	176	0.000051
SALES	171	0.000095
Weezer	164	0.000002
RICEWINE	154	0.002480
Joe Pass	153	0.000079
Michael Christmas	136	0.000728
Instupendo	135	0.000532
Flatsound	130	0.000101
elijah who	129	0.000424
xxxtentacion	129	0.000007
yunggoth✰	126	0.009724
Oliver Francis	123	0.000249
Chris Travis	120	0.000121
Ed Sheeran	118	0.000001
Drake	115	0.000001
Duckwrth	113	0.000302
Swim Deep	112	0.000054
Sam Gellaitry	107	0.000235
Tea	100	0.000812
Ngahere Wafer	99	0.010334
Playboi Carti	99	0.000017
frumhere	96	0.000526
Kanye West	95	0.000000
Mikey Sol	92	0.041127
sad boy with a laptop	91	0.004150
Röyksopp	89	0
weird inside	82	0.000272
Rude.	81	0.000490
Yaeji	81	0.000067
Halsey	77	0.000003
Bruno Mars	76	0.000001
Daniel Caesar	75	0.000024
Jack Harlow	75	0.000748
Tyler, the Creator	73	0.000002
LIL PEEP	72	0.000006
Matt DiMona	70	0.000871
Yung Quiet	68	0.053670
Denzel Curry	67	0.000009
gin$eng	65	0.001349
Brian the Sun	63	0.000507
Julia Michaels	63	0.000024
Sango	63	0.000049
Pale Waves	61	0.000064
Fall Out Boy	58	0.000000
Mushiba	58	0.003833
Trudy and the Romance	58	0.000862
KYLE	57	0.000028
The 1975	57	0.000002
analog fish	57	0
Lil Skies	56	0.000037
VELVETEARS	56	0.000261
Goo Goo Dolls	55	0.000001
Requiem Inc.	55	0.006185
HRTBRK	54	0.023643
Toro y Moi	52	0.000002
Aminé	50	0.002531
hella sketchy	49	0.002435
Vansire	49	0.000223
Miguel	47	0.000004
New Radicals	47	0.000011
Cuco	45	0.000055
brandonhult.	44	0.017959
Calvin Harris	43	0.000001
Sinead Harnett	43	0.000073
timmies	43	0.000248
Verzache	42	0.000139
Trinidad Cardona	41	0.000863
Petit biscuit	40	0.000018
masego	39	0.000047
bazzi	38	0.000014
Hey Violet	38	0.000048
Nicki Minaj	37	0.000001
NEEDTOBREATHE	36	0.000007
Magroove	35	0.001369
Third Eye Blind	35	0.000001
Yung Hurn	35	0.000041
Billie Eilish	34	0.000004
Juice WRLD	34	0.000010
Mad CJ Mac	34	0.000888
NxxxxxS	34	0.000142
a picture of her	33	0.000224
Kendrick Lamar	33	0.000000
Milkavelli	33	0.000809
Eden	32	0.000010
J.I.D	31	0.000029
